,えび,かに,小麦,そば,卵,乳,落花生,くるみ,"アーモンド",あわび,いか,いくら,オレンジ,"カシューナッツ","キウイフルーツ",牛肉,ごま,さけ,さば,大豆,鶏肉,バナナ,豚肉,まつたけ,もも,やまいも,りんご,ゼラチン,魚介類,熱量(kcal),たんぱく質(g),脂質(g),炭水化物(g),"糖質(g)","食物繊維(g)",食塩相当量(g)
アイスコーヒー（S),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,7,0.3,0.0,1.1,—,ー,0.0
アイスコーヒー（M),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,12,0.6,0.0,2.0,—,ー,0.0
アイスコーヒー（L),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,14,0.7,0.0,2.5,—,ー,0.0
アイスカフェラテ（S),▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,49,2.6,2.6,3.8,—,ー,0.1
アイスカフェラテ（M),▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,90,4.8,4.8,7.0,—,ー,0.2
アイスカフェラテ（L),▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,122,6.5,6.5,9.3,—,ー,0.2
アイスティー,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,10,0.2,0.0,2.3,2.3,0.0,0.1
アイスピーチティー,▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,○,,▲,▲,,46,0.2,0.0,12.0,—,—,0.0
天空の抹茶Ⓡ  大人ラテ（S),▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,88,4.9,4.6,6.8,6.0,0.8,0.2
天空の抹茶Ⓡ  大人ラテ（M),▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,156,8.8,8.1,12.3,10.7,1.6,0.3
強焙煎ほうじ茶  大人ラテ（S),▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,88,4.8,4.6,7.0,6.0,1.0,0.2
強焙煎ほうじ茶  大人ラテ（M),▲,,▲,,▲,○,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,156,8.6,8.1,12.6,10.7,1.9,0.3
天空の抹茶Ⓡ  （S),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,5,0.4,0.1,0.5,0.0,0.5,0.0
天空の抹茶Ⓡ  （M),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,7,0.6,0.1,0.8,0.0,0.8,0.0
強焙煎ほうじ茶  （S),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,5,0.3,0.1,0.6,0.0,0.6,0.0
強焙煎ほうじ茶  （M),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,7,0.5,0.1,1.0,0.0,1.0,0.0
ペプシコーラ （S),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,69,0.0,0.0,17.0,17.0,0.0,0.1
ペプシコーラ （M),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,109,0.0,0.0,27.2,27.2,0.0,0.1
ペプシコーラ（L),▲,,▲,,▲,▲,▲,,,,,,▲,,,▲,▲,,,▲,▲,,▲,,▲,,▲,▲,,205,0.0,0.0,51.0,51.0,0.0,0.1
